ダウンロードした時刻：2019/12/20 11:10:55

,横浜,横浜,横浜,横浜,横浜,横浜,横浜
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2006/1/1,0.0,0,8,1,曇,8,1
2006/1/2,3.5,0,8,1,雨時々曇,8,1
2006/1/3,0,1,8,1,晴,8,1
2006/1/4,0,1,8,1,曇,8,1
2006/1/5,0.0,0,8,1,曇後時々晴,8,1
2006/1/6,0.0,0,8,1,曇,8,1
2006/1/7,0,1,8,1,晴,8,1
2006/1/8,0,1,8,1,晴,8,1
2006/1/9,0.0,0,8,1,晴一時曇,8,1
2006/1/10,0.0,0,8,1,晴一時曇,8,1
2006/1/11,0,1,8,1,晴,8,1
2006/1/12,0,1,8,1,晴,8,1
2006/1/13,0.0,0,8,1,曇一時雨,8,1
2006/1/14,54.5,0,8,1,曇後大雨、雷を伴う,8,1
2006/1/15,0.0,0,8,1,晴後時々曇,8,1
2006/1/16,1.0,0,8,1,曇,8,1
2006/1/17,0.5,0,8,1,曇時々晴,8,1
2006/1/18,0,1,8,1,曇一時晴,8,1
2006/1/19,0,1,8,1,晴一時薄曇,8,1
2006/1/20,0.0,0,8,1,薄曇,8,1
2006/1/21,16.0,0,8,1,大雪,8,1
2006/1/22,0,1,8,1,晴一時曇,8,1
2006/1/23,0,1,8,1,快晴,8,1
2006/1/24,0,1,8,1,晴,8,1
2006/1/25,0,1,8,1,晴一時薄曇,8,1
2006/1/26,0,1,8,1,快晴,8,1
2006/1/27,0.0,0,8,1,晴,8,1
2006/1/28,0,1,8,1,快晴,8,1
2006/1/29,0,1,8,1,晴,8,1
2006/1/30,0,1,8,1,晴,8,1
2006/1/31,2.5,0,8,1,曇時々雨,8,1
2006/2/1,46.5,0,8,1,大雨,8,1
2006/2/2,0,1,8,1,曇一時晴,8,1
2006/2/3,0,1,8,1,晴一時薄曇,8,1
2006/2/4,0.0,0,8,1,晴後一時曇,8,1
2006/2/5,0,1,8,1,快晴,8,1
2006/2/6,0.5,0,8,1,曇,8,1
2006/2/7,6.5,0,8,1,曇後一時晴,8,1
2006/2/8,0,1,8,1,晴,8,1
2006/2/9,0,1,8,1,快晴,8,1
